               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.078563,            0.068706,                   0,             0.49266,             0.44721,             0.42601,             0.11579,            0.071919,            0.029859,                   0,           0.0013884,           0.0013884,            0.081988
                  39,            0.073588,            0.049222,                   0,             0.49267,             0.44723,             0.42395,             0.11093,            0.071144,            0.029662,                   0,           0.0013978,           0.0013978,            0.081498
                  40,            0.076283,            0.045578,                   0,              0.4727,             0.46053,             0.40245,             0.10876,            0.070759,            0.029435,                   0,           0.0014057,           0.0014057,            0.081006
                  41,            0.074894,            0.051214,                   0,             0.40965,             0.39474,             0.28745,            0.070333,            0.070791,            0.029118,                   0,           0.0014119,           0.0014119,            0.080512
                  42,            0.073685,            0.054891,                   0,             0.51468,             0.46053,             0.40156,            0.096964,             0.06823,            0.028941,                   0,           0.0014165,           0.0014165,            0.080016
                  43,            0.077063,             0.06619,                   0,             0.54605,             0.46053,             0.40032,            0.095124,            0.067153,            0.028905,                   0,           0.0014195,           0.0014195,            0.079519
                  44,             0.07144,            0.053175,                   0,             0.53068,             0.44737,             0.39455,             0.10572,            0.066889,            0.028691,                   0,           0.0014209,           0.0014209,            0.079021
                  45,            0.072544,            0.056017,                   0,             0.58067,             0.42105,             0.39585,             0.11516,            0.066643,            0.028281,                   0,           0.0014207,           0.0014207,            0.078521
                  46,            0.070775,            0.053842,                   0,             0.54145,             0.41951,             0.38896,             0.10016,            0.065563,            0.028339,                   0,            0.001419,            0.001419,            0.078019
                  47,            0.072068,            0.055062,                   0,             0.52791,             0.48684,             0.43914,             0.12001,             0.06546,            0.028138,                   0,           0.0014157,           0.0014157,            0.077516
                  48,            0.072254,            0.055759,                   0,             0.55651,             0.44583,             0.46722,             0.15063,            0.063697,            0.027928,                   0,           0.0014109,           0.0014109,            0.077011
                  49,            0.076366,            0.056475,                   0,               0.519,             0.51114,             0.48228,             0.15194,            0.062589,            0.027683,                   0,           0.0014047,           0.0014047,            0.076505
                  50,            0.065824,            0.049441,                   0,             0.41965,             0.56579,             0.46612,             0.13903,            0.064092,            0.027543,                   0,            0.001397,            0.001397,            0.075997
                  51,            0.070711,            0.058149,                   0,             0.44818,             0.51295,             0.47835,             0.15578,            0.062273,            0.027318,                   0,           0.0013879,           0.0013879,            0.075488
                  52,            0.066417,            0.049212,                   0,             0.54643,             0.48684,             0.51856,             0.19474,            0.062042,            0.027101,                   0,           0.0013774,           0.0013774,            0.074977
                  53,            0.065083,            0.053407,                   0,             0.49309,             0.48684,             0.49425,             0.18473,             0.06147,            0.027135,                   0,           0.0013656,           0.0013656,            0.074466
                  54,            0.069191,             0.05913,                   0,             0.47613,             0.52632,             0.50608,             0.16186,            0.059657,            0.026749,                   0,           0.0013525,           0.0013525,            0.073952
                  55,            0.068895,             0.05559,                   0,             0.49331,             0.52632,             0.50801,             0.18574,             0.05965,            0.026632,                   0,           0.0013381,           0.0013381,            0.073438
                  56,            0.067235,            0.047682,                   0,             0.49228,             0.44737,             0.46217,             0.15941,            0.064232,            0.026501,                   0,           0.0013225,           0.0013225,            0.072923
                  57,            0.067845,            0.048709,                   0,              0.5053,             0.53947,             0.54686,             0.21369,            0.058655,            0.026307,                   0,           0.0013058,           0.0013058,            0.072406
                  58,            0.064299,            0.054453,                   0,             0.50597,             0.52557,             0.53352,              0.2066,              0.0584,             0.02616,                   0,            0.001288,            0.001288,            0.071888
                  59,              0.0638,             0.04929,                   0,             0.51928,             0.52589,             0.55086,             0.21203,            0.058345,            0.026071,                   0,           0.0012691,           0.0012691,            0.071369
                  60,            0.064554,            0.057312,                   0,             0.49434,             0.57895,             0.54081,             0.19879,            0.058204,            0.025959,                   0,           0.0012493,           0.0012493,            0.070849
                  61,            0.064216,            0.047056,                   0,             0.49434,             0.57895,             0.54081,             0.19879,            0.058204,            0.025959,                   0,           0.0012285,           0.0012285,            0.070328
                  62,            0.061374,            0.048122,                   0,             0.47181,             0.57895,             0.53948,             0.20678,            0.057926,             0.02588,                   0,           0.0012068,           0.0012068,            0.069807
                  63,            0.064451,            0.065599,                   0,             0.56327,             0.57895,             0.57272,             0.21458,            0.056705,            0.025799,                   0,           0.0011844,           0.0011844,            0.069284
                  64,            0.062378,            0.051852,                   0,             0.54856,             0.57895,             0.57309,             0.21594,            0.057372,             0.02561,                   0,           0.0011612,           0.0011612,            0.068761
                  65,            0.068026,            0.059839,                   0,             0.56113,             0.58885,             0.57259,             0.23087,            0.054603,            0.025443,                   0,           0.0011374,           0.0011374,            0.068237
                  66,            0.058872,            0.041359,                   0,             0.49446,             0.59211,             0.54496,             0.18016,             0.05976,            0.025465,                   0,           0.0011129,           0.0011129,            0.067713
                  67,            0.059585,            0.040826,                   0,             0.49446,             0.59211,             0.54496,             0.18016,             0.05976,            0.025458,                   0,            0.001088,            0.001088,            0.067188
                  68,            0.059345,             0.04805,                   0,             0.56328,              0.5261,             0.54757,             0.17017,             0.06018,            0.025479,                   0,           0.0010625,           0.0010625,            0.066663
                  69,            0.059586,            0.049414,                   0,             0.56936,             0.59147,             0.60715,             0.20039,            0.056863,            0.025526,                   0,           0.0010367,           0.0010367,            0.066137
                  70,            0.053413,            0.036762,                   0,             0.52057,             0.78947,             0.63456,             0.25977,            0.053559,             0.02541,                   0,           0.0010107,           0.0010107,            0.065611
                  71,            0.059182,            0.052667,                   0,             0.49963,             0.77632,             0.62587,             0.22838,            0.053405,            0.025454,                   0,          0.00098435,          0.00098435,            0.065084
                  72,            0.057804,            0.050874,                   0,             0.51273,             0.76316,             0.64393,             0.27076,            0.053917,            0.025339,                   0,           0.0009579,           0.0009579,            0.064558
                  73,            0.058246,            0.047348,                   0,             0.51273,             0.76316,             0.64393,             0.27076,            0.053917,            0.025329,                   0,          0.00093139,          0.00093139,            0.064031
                  74,            0.052884,            0.044012,                   0,             0.50311,             0.80263,             0.63468,             0.28488,            0.053063,            0.025256,                   0,          0.00090491,          0.00090491,            0.063505
                  75,            0.057659,            0.045017,                   0,             0.71765,             0.53947,             0.65947,             0.26285,            0.052788,            0.025176,                   0,          0.00087853,          0.00087853,            0.062979
                  76,            0.053108,            0.047781,                   0,             0.71765,             0.53947,             0.65947,             0.26285,            0.052788,            0.025191,                   0,          0.00085234,          0.00085234,            0.062452
                  77,            0.059926,            0.054802,                   0,             0.68516,             0.55263,             0.63739,             0.24907,            0.053483,            0.025134,                   0,          0.00082643,          0.00082643,            0.061926
                  78,            0.054526,            0.048393,                   0,             0.52908,             0.82785,             0.68329,             0.29015,            0.051848,            0.024928,                   0,          0.00080088,          0.00080088,            0.061401
                  79,            0.055134,             0.04536,                   0,             0.54924,             0.80263,             0.67866,             0.30993,            0.051722,            0.024938,                   0,          0.00077578,          0.00077578,            0.060876
                  80,            0.057263,            0.043244,                   0,             0.54924,             0.80263,             0.67866,             0.30993,            0.051722,            0.024938,                   0,          0.00075121,          0.00075121,            0.060351
                  81,            0.057256,            0.054931,                   0,             0.57114,             0.78947,             0.68063,             0.31621,            0.050965,            0.024943,                   0,          0.00072726,          0.00072726,            0.059827
                  82,            0.055702,            0.047764,                   0,             0.79605,             0.56579,             0.71199,             0.29648,            0.050426,             0.02474,                   0,          0.00070402,          0.00070402,            0.059304
